YearStart,Topic,DataValue,GeoLocation
2014,Alcohol,0,"(39.008830667000495, -75.57774116799965)"
2011,Diabetes,1.1,"(35.47203135600046, -97.52107021399968)"
2013,Diabetes,1.1,"(35.47203135600046, -97.52107021399968)"
2010,Diabetes,1.1,"(44.56744942400047, -120.15503132599969)"
2010,Diabetes,1.7,"(38.66551020200046, -80.71264013499967)"
2014,Diabetes,1.7,"(38.66551020200046, -80.71264013499967)"
2010,Diabetes,1.7,"(21.304850435000446, -157.85774940299973)"
2012,Chronic Kidney Disease,2.3,"(32.84057112200048, -86.63186076199969)"
2014,Chronic Kidney Disease,2.3,"(37.63864012300047, -120.99999953799971)"
2014,Chronic Kidney Disease,2.3,"(38.843840757000464, -106.13361092099967)"
2008,Cancer,2.8,"(40.13057004800049, -74.27369128799967)"
2014,Chronic Kidney Disease,2.8,"(32.84057112200048, -86.63186076199969)"
2014,Chronic Kidney Disease,2.8,"(32.84057112200048, -86.63186076199969)"
2008,Cancer,3.3,"(38.34774030000045, -98.20078122699965)"
2008,Cancer,3.3,"(42.27687047000046, -72.08269067499964)"
2008,Cancer,3.3,"(44.56744942400047, -120.15503132599969)"
2013,Alcohol,3.8,"(42.279075, -83.336188)"
2013,Alcohol,3.8,"(42.279075, -83.336188)"
2014,Alcohol,3.8,"(38.635790776000476, -92.56630005299968)"
2013,Alcohol,4.3,"(32.84057112200048, -86.63186076199969)"
2014,Alcohol,4.3,"(34.74865012400045, -92.27449074299966)"
2014,Alcohol,4.3,"(34.74865012400045, -92.27449074299966)"
2013,Chronic Obstructive Pulmonary Disease,4.76,"(41.6410409880005, -99.36572062299967)"
2010,Chronic Obstructive Pulmonary Disease,4.77,"(43.682630005000476, -114.3637300419997)"
2013,Chronic Obstructive Pulmonary Disease,4.78,"(35.466220975000454, -79.15925046299964)"
2013,Alcohol,5.3,"(47.60621, -122.332071)"
2014,Alcohol,5.3,"(34.52088095200048, -106.24058098499967)"
2011,Alcohol,5.3,"(39.008830667000495, -75.57774116799965)"
2013,Alcohol,5.9,"(40.984878, -72.615117)"
2013,Alcohol,5.9,"(40.015475, -82.993161)"
2012,Alcohol,5.9,"(35.68094058000048, -85.77449091399967)"
2012,Alcohol,6.5,"(28.932040377000476, -81.92896053899966)"
2014,Alcohol,6.5,"(40.48501028300046, -88.99771017799969)"
2014,Alcohol,6.5,"(47.06652897200047, -109.42442064499971)"
2008,Cancer,7,"(38.907192, -77.036871)"
2013,Chronic Kidney Disease,7,"(47.60621, -122.332071)"
2013,Chronic Obstructive Pulmonary Disease,7,"(38.907192, -77.036871)"
2014,Alcohol,7.5,"(44.39319117400049, -89.81637074199966)"
2014,Alcohol,7.5,"(44.39319117400049, -89.81637074199966)"
2013,Alcohol,7.5,"(44.39319117400049, -89.81637074199966)"
2013,Diabetes,7.9,"(41.824383, -88.090076)"
2014,Diabetes,7.9,"(42.27687047000046, -72.08269067499964)"
2014,Diabetes,7.9,"(45.254228894000505, -68.98503133599962)"
2014,Diabetes,8.4,"(41.70828019300046, -71.52247031399963)"
2013,Diabetes,8.4,"(41.70828019300046, -71.52247031399963)"
2014,Diabetes,8.4,"(37.54268067400045, -78.45789046299967)"
2013,Asthma,9,
2013,Asthma,9,
2013,Asthma,9,"(40.644188, -111.952249)"
2013,Asthma,9.6,"(35.47203135600046, -97.52107021399968)"
2012,Asthma,9.6,"(40.79373015200048, -77.86070029399963)"
2008,Cancer,9.6,"(34.865970280000454, -111.76381127699972)"
2012,Diabetes,10.2,"(39.29058096400047, -76.60926011099963)"
2013,Diabetes,10.2,"(42.279075, -83.336188)"
2013,Diabetes,10.2,"(38.610302, -90.412518)"
2014,Chronic Obstructive Pulmonary Disease,10.9,"(32.745510099000455, -89.53803082499968)"
2014,Chronic Obstructive Pulmonary Disease,10.9,"(39.493240390000494, -117.07184056399967)"
2014,Chronic Obstructive Pulmonary Disease,10.9,"(40.79373015200048, -77.86070029399963)"
2013,Chronic Obstructive Pulmonary Disease,11.6,"(40.015475, -82.993161)"
2012,Chronic Obstructive Pulmonary Disease,11.6,"(40.06021014100048, -82.40426005599966)"
2012,Chronic Obstructive Pulmonary Disease,11.6,"(35.47203135600046, -97.52107021399968)"
2013,Arthritis,12.4,"(43.62538123900049, -72.51764079099962)"
2013,Arthritis,12.4,"(47.60621, -122.332071)"
2013,Arthritis,12.4,"(44.56744942400047, -120.15503132599969)"
2012,Mental Health,13.3,"(38.843840757000464, -106.13361092099967)"
2014,Mental Health,13.3,"(42.46940091300047, -93.81649055599968)"
2013,Mental Health,13.3,"(38.34774030000045, -98.20078122699965)"
2012,Alcohol,14.4,"(35.68094058000048, -85.77449091399967)"
2013,Alcohol,14.4,"(39.360700171000474, -111.58713063499971)"
2011,Alcohol,14.4,"(43.62538123900049, -72.51764079099962)"
2013,Alcohol,15.6,"(18.220833, -66.590149)"
2013,Alcohol,15.6,"(47.60621, -122.332071)"
2013,Alcohol,15.6,"(38.34774030000045, -98.20078122699965)"
2013,Alcohol,16.9,"(47.52227862900048, -120.47001078999972)"
2014,Arthritis,16.9,"(64.84507995700051, -147.72205903599973)"
2014,Arthritis,16.9,"(37.63864012300047, -120.99999953799971)"
2008,Cancer,18.5,"(34.74865012400045, -92.27449074299966)"
2008,Cancer,18.5,"(31.31266064400046, -92.44568007099969)"
2014,Chronic kidney disease,18.5,"(42.82700103200045, -75.54397042699964)"
2010,Cardiovascular Disease,20,"(44.39319117400049, -89.81637074199966)"
2014,Cardiovascular Disease,20,"(42.46940091300047, -93.81649055599968)"
2013,Cardiovascular Disease,20,"(39.766910452000445, -86.14996019399968)"
2014,Cardiovascular Disease,21.4,"(38.907192, -77.036871)"
2012,Cardiovascular Disease,21.4,"(28.932040377000476, -81.92896053899966)"
2011,Cardiovascular Disease,21.4,"(35.466220975000454, -79.15925046299964)"
2013,Arthritis,22.8,"(43.23554134300048, -108.10983035299967)"
2014,Arthritis,22.8,"(39.29058096400047, -76.60926011099963)"
2013,Arthritis,22.8,"(35.466220975000454, -79.15925046299964)"
2011,Cardiovascular Disease,24,"(38.34774030000045, -98.20078122699965)"
2010,Cardiovascular Disease,24,"(31.31266064400046, -92.44568007099969)"
2013,Cardiovascular Disease,24,"(31.31266064400046, -92.44568007099969)"
2013,Immunization,25.2,"(41.824383, -88.090076)"
2014,Immunization,25.2,"(44.39319117400049, -89.81637074199966)"
2013,Mental Health,25.2,"(35.47203135600046, -97.52107021399968)"
2013,Immunization,26.4,"(42.592192, -83.336188)"
2013,Immunization,26.4,"(43.23554134300048, -108.10983035299967)"
2010,Chronic Obstructive Pulmonary Disease,26.46,"(37.63864012300047, -120.99999953799971)"
2010,Diabetes,27.6,"(44.56744942400047, -120.15503132599969)"
2012,Diabetes,27.6,"(40.79373015200048, -77.86070029399963)"
2012,Diabetes,27.6,"(64.84507995700051, -147.72205903599973)"
2012,Immunization,28.7,"(28.932040377000476, -81.92896053899966)"
2013,Immunization,28.7,"(45.020891, -93.509457)"
2014,Immunization,28.7,"(40.13057004800049, -74.27369128799967)"
2014,Arthritis,29.8,"(37.54268067400045, -78.45789046299967)"
2013,Arthritis,29.8,"(44.353130053000484, -100.3735306369997)"
2013,Arthritis,29.8,"(44.39319117400049, -89.81637074199966)"
2013,Cardiovascular Disease,30.7,"(43.682630005000476, -114.3637300419997)"
2012,Cardiovascular Disease,30.7,"(39.493240390000494, -117.07184056399967)"
2014,Diabetes,30.7,"(34.74865012400045, -92.27449074299966)"
2014,Arthritis,31.7,
2014,Arthritis,31.7,"(37.54268067400045, -78.45789046299967)"
2010,Asthma,31.7,"(38.635790776000476, -92.56630005299968)"
2013,Asthma,32.6,"(39.766910452000445, -86.14996019399968)"
2013,Asthma,32.6,"(43.23554134300048, -108.10983035299967)"
2013,Asthma,32.6,"(18.220833, -66.590149)"
2014,Cardiovascular Disease,33.4,"(44.6613195430005, -84.71439026999968)"
2014,Cardiovascular Disease,33.4,"(39.493240390000494, -117.07184056399967)"
2013,Cardiovascular Disease,33.4,"(39.493240390000494, -117.07184056399967)"
2011,Cardiovascular Disease,34.3,"(32.83968109300048, -83.62758034599966)"
2011,Cardiovascular Disease,34.3,"(38.843840757000464, -106.13361092099967)"
2011,Cardiovascular Disease,34.3,"(43.682630005000476, -114.3637300419997)"
2012,Arthritis,35.2,
2014,Arthritis,35.2,"(39.360700171000474, -111.58713063499971)"
2014,Arthritis,35.2,"(38.66551020200046, -80.71264013499967)"
2012,Cardiovascular Disease,36,"(44.39319117400049, -89.81637074199966)"
2013,Cardiovascular Disease,36,"(44.39319117400049, -89.81637074199966)"
2014,Cardiovascular Disease,36,"(44.39319117400049, -89.81637074199966)"
2013,Arthritis,36.9,"(32.745510099000455, -89.53803082499968)"
2014,Arthritis,36.9,"(40.79373015200048, -77.86070029399963)"
2013,Arthritis,36.9,"(33.998821303000454, -81.04537120699968)"
2013,Chronic kidney disease,37.7,"(21.304850435000446, -157.85774940299973)"
2010,Chronic kidney disease,37.7,"(39.29058096400047, -76.60926011099963)"
2014,Chronic kidney disease,37.7,"(39.360700171000474, -111.58713063499971)"
2012,Cardiovascular Disease,38.5,"(40.48501028300046, -88.99771017799969)"
2013,Cardiovascular Disease,38.5,"(34.52088095200048, -106.24058098499967)"
2014,Cardiovascular Disease,38.5,"(34.52088095200048, -106.24058098499967)"
2013,Diabetes,39.3,"(40.984878, -72.615117)"
2014,Diabetes,39.3,"(40.79373015200048, -77.86070029399963)"
2013,Diabetes,39.3,"(18.220833, -66.590149)"
2012,Diabetes,40.2,"(43.23554134300048, -108.10983035299967)"
2014,Diabetes,40.2,"(28.932040377000476, -81.92896053899966)"
2013,Diabetes,40.2,"(42.46940091300047, -93.81649055599968)"
2014,Chronic Obstructive Pulmonary Disease,41.1,"(31.827240407000488, -99.42677020599967)"
2013,Chronic Obstructive Pulmonary Disease,41.1,"(38.908547, -77.240515)"
2012,Chronic Obstructive Pulmonary Disease,41.1,"(13.444304, 144.793731)"
2014,Cardiovascular Disease,42,"(40.06021014100048, -82.40426005599966)"
2014,Cardiovascular Disease,42,"(47.52227862900048, -120.47001078999972)"
2013,Cardiovascular Disease,42,"(38.66551020200046, -80.71264013499967)"
2011,Cardiovascular Disease,43,"(38.635790776000476, -92.56630005299968)"
2011,Cardiovascular Disease,43,"(41.6410409880005, -99.36572062299967)"
2011,Cardiovascular Disease,43,"(41.70828019300046, -71.52247031399963)"
2013,Asthma,44,"(28.932040377000476, -81.92896053899966)"
2010,Asthma,44,"(32.84057112200048, -86.63186076199969)"
2010,Asthma,44,"(34.865970280000454, -111.76381127699972)"
2013,Asthma,45,"(47.06652897200047, -109.42442064499971)"
2012,Asthma,45,"(44.56744942400047, -120.15503132599969)"
2014,Cancer,45,"(37.63864012300047, -120.99999953799971)"
2013,Diabetes,46,"(43.682630005000476, -114.3637300419997)"
2011,Diabetes,46,"(46.35564873600049, -94.79420050299967)"
2011,Diabetes,46,"(33.998821303000454, -81.04537120699968)"
2014,Asthma,47.2,"(42.46940091300047, -93.81649055599968)"
2013,Asthma,47.2,"(38.34774030000045, -98.20078122699965)"
2013,Asthma,47.2,"(44.56744942400047, -120.15503132599969)"
2012,Immunization,48.2,"(44.353130053000484, -100.3735306369997)"
2012,Diabetes,48.21,"(32.84057112200048, -86.63186076199969)"
2010,Chronic Obstructive Pulmonary Disease,48.22,"(44.353130053000484, -100.3735306369997)"
2013,Arthritis,49.4,"(38.908547, -77.240515)"
2013,Arthritis,49.4,"(64.84507995700051, -147.72205903599973)"
2013,Arthritis,49.4,"(39.29058096400047, -76.60926011099963)"
2012,Cardiovascular Disease,50.5,"(40.79373015200048, -77.86070029399963)"
2012,Cardiovascular Disease,50.5,"(41.70828019300046, -71.52247031399963)"
2010,Cardiovascular Disease,50.5,"(35.68094058000048, -85.77449091399967)"
2014,Diabetes,51.6,"(33.998821303000454, -81.04537120699968)"
2013,Immunization,51.6,"(42.27687047000046, -72.08269067499964)"
2010,Chronic Obstructive Pulmonary Disease,51.61,"(42.46940091300047, -93.81649055599968)"
2014,Chronic Obstructive Pulmonary Disease,52.8,"(64.84507995700051, -147.72205903599973)"
2014,Chronic Obstructive Pulmonary Disease,52.8,"(34.74865012400045, -92.27449074299966)"
2014,Chronic Obstructive Pulmonary Disease,52.8,"(43.682630005000476, -114.3637300419997)"
2012,Diabetes,53.9,"(42.27687047000046, -72.08269067499964)"
2014,Diabetes,53.9,"(41.6410409880005, -99.36572062299967)"
2014,Diabetes,53.9,"(64.84507995700051, -147.72205903599973)"
2011,Cardiovascular Disease,55,"(37.63864012300047, -120.99999953799971)"
2010,Cardiovascular Disease,55,"(32.83968109300048, -83.62758034599966)"
2011,Cardiovascular Disease,55,"(39.008830667000495, -75.57774116799965)"
2014,Arthritis,56.3,"(21.304850435000446, -157.85774940299973)"
2013,Arthritis,56.3,"(39.766910452000445, -86.14996019399968)"
2014,Arthritis,56.3,"(43.65595011300047, -71.50036091999965)"
2010,Diabetes,57.4,"(47.06652897200047, -109.42442064499971)"
2013,Diabetes,57.4,"(42.82700103200045, -75.54397042699964)"
2011,Diabetes,57.4,"(41.70828019300046, -71.52247031399963)"
2014,Cardiovascular Disease,58.5,"(32.745510099000455, -89.53803082499968)"
2010,Cardiovascular Disease,58.5,"(34.52088095200048, -106.24058098499967)"
2013,Cardiovascular Disease,58.5,"(31.31266064400046, -92.44568007099969)"
2012,Chronic kidney disease,59.6,"(44.56744942400047, -120.15503132599969)"
2013,Chronic kidney disease,59.6,"(40.79373015200048, -77.86070029399963)"
2014,Chronic kidney disease,59.6,"(43.62538123900049, -72.51764079099962)"
2012,Chronic kidney disease,60.7,"(38.635790776000476, -92.56630005299968)"
2014,Chronic kidney disease,60.7,"(38.635790776000476, -92.56630005299968)"
2011,Chronic kidney disease,60.7,"(43.23554134300048, -108.10983035299967)"
2013,Cardiovascular Disease,61.7,"(35.466220975000454, -79.15925046299964)"
2013,Cardiovascular Disease,61.7,"(41.824383, -88.090076)"
2013,Cardiovascular Disease,61.7,"(42.27687047000046, -72.08269067499964)"
2014,Chronic Obstructive Pulmonary Disease,62.8,"(32.745510099000455, -89.53803082499968)"
2012,Chronic Obstructive Pulmonary Disease,62.8,"(39.360700171000474, -111.58713063499971)"
2013,Chronic Obstructive Pulmonary Disease,62.8,"(34.74865012400045, -92.27449074299966)"
2014,Diabetes,63.8,"(37.54268067400045, -78.45789046299967)"
2012,Diabetes,63.8,"(43.23554134300048, -108.10983035299967)"
2013,Diabetes,63.8,"(33.291797, -112.429146)"
2012,Chronic Obstructive Pulmonary Disease,64.9,"(32.84057112200048, -86.63186076199969)"
2013,Chronic Obstructive Pulmonary Disease,64.9,"(34.74865012400045, -92.27449074299966)"
2014,Chronic Obstructive Pulmonary Disease,64.9,"(39.766910452000445, -86.14996019399968)"
2012,Chronic Obstructive Pulmonary Disease,66,"(47.06652897200047, -109.42442064499971)"
2014,Chronic Obstructive Pulmonary Disease,66,"(40.06021014100048, -82.40426005599966)"
2014,Chronic Obstructive Pulmonary Disease,66,"(35.47203135600046, -97.52107021399968)"
2010,Chronic Obstructive Pulmonary Disease,67.1,"(39.360700171000474, -111.58713063499971)"
2013,Chronic Obstructive Pulmonary Disease,67.1,"(39.360700171000474, -111.58713063499971)"
2014,Chronic Obstructive Pulmonary Disease,67.1,"(47.06652897200047, -109.42442064499971)"
2014,Diabetes,68.2,"(35.47203135600046, -97.52107021399968)"
2014,Diabetes,68.2,"(32.745510099000455, -89.53803082499968)"
2013,Diabetes,68.2,"(32.773204, -97.351656)"
2014,Cardiovascular Disease,69.4,"(35.466220975000454, -79.15925046299964)"
2013,Cardiovascular Disease,69.4,"(41.6410409880005, -99.36572062299967)"
2010,Cardiovascular Disease,69.4,"(42.82700103200045, -75.54397042699964)"
2012,Diabetes,70.5,"(32.745510099000455, -89.53803082499968)"
2013,Diabetes,70.5,"(40.984878, -72.615117)"
2013,Diabetes,70.5,"(39.008830667000495, -75.57774116799965)"
2014,Chronic Obstructive Pulmonary Disease,71.8,"(43.682630005000476, -114.3637300419997)"
2013,Chronic Obstructive Pulmonary Disease,71.8,"(34.74865012400045, -92.27449074299966)"
2012,Chronic Obstructive Pulmonary Disease,71.8,"(39.766910452000445, -86.14996019399968)"
2013,Cardiovascular Disease,73,"(37.54268067400045, -78.45789046299967)"
2010,Cardiovascular Disease,73,"(38.907192, -77.036871)"
2014,Cardiovascular Disease,73,"(39.008830667000495, -75.57774116799965)"
2014,Cancer,74.3,"(34.52088095200048, -106.24058098499967)"
2014,Cancer,74.3,"(42.27687047000046, -72.08269067499964)"
2012,Chronic kidney disease,74.3,"(64.84507995700051, -147.72205903599973)"
2014,Diabetes,75.6,"(39.008830667000495, -75.57774116799965)"
2013,Diabetes,75.6,"(21.304850435000446, -157.85774940299973)"
2012,Diabetes,75.6,"(38.34774030000045, -98.20078122699965)"
2013,Chronic Obstructive Pulmonary Disease,77,"(42.46940091300047, -93.81649055599968)"
2014,Chronic Obstructive Pulmonary Disease,77,"(35.466220975000454, -79.15925046299964)"
2013,Chronic Obstructive Pulmonary Disease,77,"(33.998821303000454, -81.04537120699968)"
2010,Chronic kidney disease,78.3,"(42.27687047000046, -72.08269067499964)"
2013,Chronic kidney disease,78.3,"(35.466220975000454, -79.15925046299964)"
2014,Chronic kidney disease,78.3,"(35.466220975000454, -79.15925046299964)"
2014,Diabetes,79.7,"(42.27687047000046, -72.08269067499964)"
2014,Diabetes,79.7,"(31.827240407000488, -99.42677020599967)"
2012,Diabetes,79.7,"(47.52227862900048, -120.47001078999972)"
2013,Chronic Obstructive Pulmonary Disease,81.2,"(21.304850435000446, -157.85774940299973)"
2013,Chronic Obstructive Pulmonary Disease,81.2,"(47.06652897200047, -109.42442064499971)"
2013,Cardiovascular Disease,81.2,"(40.48501028300046, -88.99771017799969)"
